importer,country_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
699,1,-1.6906347425779602,3.6552838537676204,-2.0644359087106934,-0.8189658451993554,1.608501389992803,-0.6706856770172791,-0.3548967467066882,0.9160064082447119,-0.0969198104517217,-0.14193296452828677,1.5773696164853768,0.4593198772581144,-0.5923618738081297,-0.11149468230883268,0.8615451161991036,3.1214383461608453
702,3,-0.3627273332892386,-0.7473581288546097,2.574346555617147,0.2389262558229609,1.3875479411804628,-0.22089972597447596,-0.5992467810540568,-0.0054835238555047865,1.0137179950803843,0.6239442515350933,-1.991223986072808,-0.25181039965014956,-1.1215471028664197,1.250968986563347,0.12049911293120838,0.9109362087846591
703,6,-0.29714805793447374,-1.1133662621101517,1.8321255084728658,0.2446692834053543,0.3490689135519036,0.621683650496719,-0.36130755812047105,0.789155073366946,-1.4886781368376694,-0.3838487112703398,1.2003649403498695,0.3318474712858463,0.1837383930714806,0.48141274096554665,-0.16234431036366725,0.5014115445894058
704,7,-0.1719794391892504,-0.8852082574587001,-1.8670367375331192,0.540590196977185,1.8443815916853472,0.875594903164929,-0.9515175731055009,-0.4891214430679749,-0.7351890192962046,0.3099346228982291,-1.6630441997275116,-0.4318931786066475,-0.8224523636323072,1.6777978982646435,-0.36088326599196907,0.7153083885375259
705,4,-0.23469443344722277,-0.5857992239856151,0.9065452381223181,0.10664871691326372,0.10490427581422287,0.23545498729013872,-0.27219304825158963,-0.03349412908995428,-0.20313768287042838,0.19413620518617575,-0.35502490768569334,-0.37406179982928445,-0.01677025345115875,-0.8847055165980955,0.5167267760019545,0.4327590532212334
724,4,0.6507193529830032,1.2462844030388172,0.7023059371362175,-0.32975693320286353,-0.45885345570829633,0.7961875239078712,-0.2732261914481518,-0.052577058399152415,-0.7767484851238043,0.16345768663859137,-0.17497595250579626,-0.5191524975587465,0.16041848278159324,-1.2120770603387199,0.3497380191397674,-0.5499365609675562
752,4,-0.14542885071641032,0.03711569621533688,1.0926125915351876,-0.054473440359329134,-0.014746460801853479,-0.02468990876579784,-0.33163212410113047,-0.03344001748102329,0.030508251895692045,0.3120887290570186,-0.4022223671832778,-0.3262364404032992,-0.0006103369015343116,-0.7483861670221303,0.10792906676716711,-0.49191143227083584
757,2,3.1281531868876256,-0.3358460818322341,2.636696023924266,-0.07433574671421865,0.29694048189206773,-0.9454245540908615,0.0006439606823761186,1.0571848186562227,0.055407864269800794,-0.26877779650568795,1.6434437995554352,0.9299607407020299,0.22932438273567077,0.8723422163418462,-0.557656487102253,-0.683083550330283
764,7,-1.0192301782261806,-0.014072284217095396,-0.17054879773973064,0.04565790699936584,0.1167799099954368,0.17654704083941233,0.0036633729458461686,-0.5231576883803243,0.26797043266097137,0.014308040404175814,-0.5255533090021162,-0.10287975205882609,-0.04150986061735969,0.2991183617593302,-0.29727651138097655,0.40614254331923944
780,7,-0.9656910616989433,-0.3847925602358582,-0.10455125025708514,0.07343528956906155,-0.4605589150255288,0.015133640329610426,0.0015050961455744137,-0.2137976711849451,0.22256984546064287,-0.04027497553688732,-0.3921656970087458,-0.1637912252463847,0.04139934254984065,-0.3322766830102702,-0.5233164564489285,-0.042665222343425506
784,2,2.7081385420412043,-0.1424315692374065,0.9191363886747322,-0.06995340160376243,0.20359001630620557,-0.9362592279363927,0.36627824094928424,-0.10845955408814326,1.3275307829237306,0.09666323345761521,-0.11681458530041049,0.35852803667696537,-0.09744255339526334,0.25337796498089865,0.20753532741789088,0.2685690012661376
