product,sector,product_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
0501,Agriculture & Food,3,-0.01820681319777743,-0.0996220319033928,0.03793349516163485,-0.6296614623005474,0.1383066107906849,-0.03569682975127947,0.3183287572577791,0.5132878073069901,-0.025454126622578076,-0.47501854913056996,-0.30061529809834,-0.18947532064566547,-0.1099453350418893,-0.06812149894194064,-0.019535473601087136,0.004840778419486075
0502,Agriculture & Food,0,-0.001264619425913005,-0.055931044370476087,0.06796353126584434,-0.5872770653988756,-0.010584657350747774,-0.09451683243298165,-0.21964783825732895,0.14260869840248305,-0.03584514082034307,-0.3663236539388172,-0.2058060787321672,-0.14290082477588334,0.04770832953744153,0.013838380446386054,0.12614563491554734,0.035841222251220634
0504,Agriculture & Food,0,-0.008369813222568691,-0.12025840467050115,0.00028252043879002176,-0.45043693861149203,0.028768698739553473,-0.06925706900404338,-0.12533377472837454,0.001992497487923277,-0.027608711612188908,-0.09050243566702884,-0.09563952539284863,-0.030563400634600744,0.25486853798309,0.07158430359324204,0.04128188550349662,0.0698200184480344
0505,Agriculture & Food,3,-0.0348896510262441,-0.11376148839600918,-0.012995679173409627,-0.5460366698053551,0.13789655817086335,-0.02006194110953353,0.1973361289548606,0.26030196915578285,-0.025868799067753093,-0.11045363332198758,-0.23543381735263783,-0.12274691214794202,0.11039922004602815,-0.036975333331681834,-0.018446702498551043,0.0585631310484545
0506,Agriculture & Food,3,-0.0358343295165256,-0.0825086887283113,0.07587582887939577,-0.5924268789067025,0.08786719312926071,-0.053410573006105105,0.11905278948985609,0.31712701905931245,0.023988716642361383,-0.36295324746042235,-0.28061467380237837,-0.16226800551027348,-0.017128761755870116,-0.0719747590091749,0.03218856565155821,0.04479737598165762
0507,Agriculture & Food,3,-0.0533754533657626,-0.017957899038693402,0.18054196192162109,-0.6357060803109965,0.13176963750263584,-0.04824870983263308,0.32090127675277086,0.46366265878979906,0.006266214694587337,-0.25023707269597834,-0.31105612608203315,-0.18806790988273547,-0.04766313593630462,-0.10451249302880276,-0.02747451384919783,0.050898703932849475
0508,Agriculture & Food,3,0.03403872673091151,-0.14041002401969233,-0.033355549402466704,-0.5503341592375937,0.0678536721542741,-0.06796708261045228,0.0775811006000786,0.21922214492512004,0.008672766843289848,-0.2042168858227729,-0.1888773199511643,-0.09012062918710685,0.10062747116428715,-0.02038614447810683,0.03914125691948881,0.041528995278454696
0510,Agriculture & Food,3,-0.06670867283944942,-0.0642983095288233,0.08151658638535426,-0.6163547715294708,0.15786021481077092,0.0006916876300881992,0.44680511128825867,0.5418481490846646,-0.04416810337585093,-0.18600930809984953,-0.33218945921843823,-0.1902024788516129,-0.04677649150494268,-0.0998188874590008,-0.09369845865217055,0.024864748231094937
0511,Agriculture & Food,0,-0.008799543675556932,-0.08269728875741579,-0.017196385215884593,-0.34203557495273634,0.029601267027895117,-0.0035044546879974443,-0.036874324391835585,-0.008675334327528077,-0.023990728897774247,0.10545062408599341,-0.03479133500259611,0.028061124074282944,0.19203097676870995,0.044845132982329505,0.007787249555936867,0.03915541396197896
0601,Agriculture & Food,0,-0.0016380667935040462,-0.10512498465046687,-0.023414072281702263,-0.4470522825660075,0.024706091445913715,-0.026757736939738343,-0.09234546500849768,0.020283038369635537,-0.007499450727913178,-0.03823247284006796,-0.08090048944858638,-3.200509057293755e-05,0.20917983727576037,0.047274401290154824,0.04687543821679294,0.05010921200799275
0602,Agriculture & Food,0,-0.002694136681985715,-0.048352502708908125,-0.00835943835013142,-0.21968207988100094,0.007762938287564738,-0.008548648374402834,-0.0831874595631402,-0.04509714781784935,-0.011103288950885607,0.06826403481081061,-0.016276330154827632,0.029931931197924845,0.17566261713747533,0.0481167139103557,0.022988402071707506,0.045384152476313784
0603,Agriculture & Food,0,-0.0015391386328143565,-0.0810052194109239,-0.015036680462770574,-0.350429522916691,0.037061415424615204,-0.03493853138734623,-0.08772241338624354,-0.002369486571203594,-0.02430700164528879,-0.0525563733187467,-0.0852689253258739,0.019512761730375843,0.23916547060152835,0.0510546198103704,0.03861226325444183,0.08045976021094094
0604,Agriculture & Food,0,0.0023034384896045037,-0.1075754467801979,-0.04981259502272216,-0.331910190532835,0.0015794226546571072,0.015599131794112634,0.008682994862447417,0.10531685545674013,0.00910336980576301,-0.12339380942220363,-0.07753110950202621,0.02169983087869082,0.005081777174139539,0.004053258467282638,0.024167579575260962,-0.020293817123084243
0701,Agriculture & Food,4,0.023687764758321985,-0.00415822146258368,-0.01013774928363306,0.06525171299715682,0.020163241012753186,0.0899988221785865,0.1149705567184241,-0.0069410838947738095,0.01543158274918632,0.17506606788783086,0.09501095230273195,0.0591183726597567,-0.18860098305417777,-0.06186258207272209,-0.06933197594829914,-0.11035185879829293
0702,Agriculture & Food,0,0.02036516293656297,-0.03709790285380505,-0.0283420240454921,-0.050713468100580944,0.009492708485409574,0.04365235759099516,0.09319676838241157,0.11045815530816325,0.025881893237273745,-0.1065103214329785,-0.03373615383469767,0.014304524024063901,-0.13053126337639254,-0.04895873123070559,-0.011495410392166646,-0.045837178507335936
0703,Agriculture & Food,4,0.015696880308676,0.05185085345271625,-0.008580697089250201,0.3475848994927483,-0.0191226953509756,0.12814368523170944,0.10745115463894944,-0.0677699808546677,0.06827968820395479,0.21220879437776038,0.21375278398491712,0.024876323495627337,-0.3842337436044066,-0.08222432442947109,-0.08165774783286542,-0.20005164427047764
0704,Agriculture & Food,0,0.02559396150666758,-0.06318207055180057,-0.024737692069961577,-0.21834157559505804,0.040163254251503404,0.0475185173299389,0.12095966312697747,0.1220935390060117,0.025153421520300923,-0.03870958335634889,-0.06610309515006574,0.028579175051493575,-0.06944600492930068,-0.05642928610708998,-0.021858465378081927,-0.03405720675828659
0705,Agriculture & Food,0,0.04679622418453507,-0.07064471815722498,-0.009623442100121515,-0.29487491004158684,0.03278282425640912,0.026716194392690386,0.030415883650400294,0.08917690950348726,0.028872721484243066,-0.06989518963629093,-0.09240260103428724,0.03493863120568382,0.00746802794889157,-0.038119729142539326,0.016859670016338955,-0.0006210932963103854
