importer,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,country_cluster
251,6.868809506925066,5.548782543925324,1.675464510363173,-2.0914354037421425,-3.327072333148469,2.593267869719799,2.828486916319771,-2.9769662522566813,-1.754853361238399,-1.2929125489079996,-0.7324772141694362,-1.8756029099488392,-0.3937486717294041,2.209983910088672,-0.5279918519075126,1.0285735599616002,0
276,0.4168435745835924,1.6870827238029955,1.0514694639175026,-0.2672415973569907,-0.0450352436682052,0.0600245992162693,-0.5700325937856108,0.3532793081589424,-0.5151575878364554,0.3166809653641856,-0.4183907569142049,-0.4134781856755392,0.1142371768221691,-0.9275449344453416,0.1484846786320098,-0.8006591318177507,4
288,-0.6432199432326766,-0.1887377795426035,-0.4757759528493128,-0.0113016539217002,-0.329207910214595,0.4865241799706875,0.4784663574321717,-0.0362043283536255,-0.3607820736716574,-0.1946565453119808,0.0127308494180671,-0.2648803695207127,-0.003986977503755,-0.6004719775901558,0.767091827209498,-0.0914588362649622,4
300,-0.4407295359910807,-0.2712950361041507,0.2451794241682447,0.030049965104241,-0.3979479240289294,0.2032273084972942,-0.1913866585920671,-0.0870911351597289,-0.2267368308501829,0.0532389709130163,-0.0369356273458096,-0.3493134466634193,0.2936523841578073,-1.108602608391632,0.0455896921398299,0.0075558067113429,4
320,-1.312866161300625,-0.231243237820284,-0.7719342540737273,0.0607763652573591,-0.1505775218926434,0.2069987863838293,0.3570592997490527,-0.6261778683843314,0.3272515315061539,-0.1810280918921696,-0.1634400660856036,-0.0158386115611895,0.1825671834771552,0.0872510770795297,-0.2903721403519291,-0.2121328273387284,7
340,-1.221499102835578,-0.4956845846852977,-0.4485549690602398,0.1244352004824789,0.0101579217282067,0.2116939350638181,0.3149018361072966,-0.4506303577501868,0.3079677263826511,-0.1799775526010579,-0.4137905406372051,-0.0783218035548861,-0.0630795659707254,0.159695586540126,-0.1404233731584774,0.1945964166642532,7
344,-0.465569724826162,-1.1090688322700777,2.4766426917268065,0.4137062799456776,1.2338859790218824,-0.1850616781919819,-0.7852152238780078,0.0967063415568042,0.837034379656231,0.6400939308677933,-2.0760438761226827,-0.2529965080894281,-1.0337055041171124,1.1741972147079005,0.1388721980802071,1.7228095674450234,3
348,-0.3783713929374466,-1.0499756987033424,1.6103382781978388,0.2393023549978177,0.2727272113042649,0.6285242393803194,-0.296037993204456,0.7514005066377716,-1.5169078636632838,-0.4137665948250328,1.314340523027372,0.3632930525284134,0.2647982686745687,0.4695511380591416,-0.1425136340380705,0.4017624769697092,6
360,-1.5599556844571922,0.7569830014829941,-1.168345721404359,-0.1448275992886436,0.2838485470411853,-0.015685431560287,0.2538073303806774,-0.530598908324992,0.4392538920344304,-0.1496217191946616,0.0477638483895797,0.1507077694515906,0.0135625921134526,0.4967875053049155,-0.3150376505723136,0.2241759344182711,7
364,-1.0109634983465472,-0.1114232563920555,-0.7200082532071526,0.0183466904835998,-0.8311976187984987,0.0644993956466832,0.1326665098110462,0.1027616473935017,-0.2252117065182418,0.1642186918794281,0.1368721731549882,-0.0644334636163432,0.0934961835794441,-0.4056467203929628,0.5255199522894644,-0.0196193680730253,7
368,1.6783170439533226,-0.6816469322311375,-0.9524129009940157,0.058717894647648,-0.2507571901636955,-1.03486314044517,0.9366514045615622,-0.1373558866686243,1.195232530873363,-0.5094381351394414,0.8531122978779888,0.5571839549361002,0.4666713897439326,-0.4115127840978326,0.0906618410918765,0.343008147523307,2
372,0.4184877286519864,-0.3049494254353773,2.5715860321384016,0.0088015304252015,1.2542783527961627,0.1102280218852477,-0.3794273372251175,0.1146170326323348,0.2154781981647953,0.5122105325399735,-1.0104533973311578,-0.4876004258307036,-0.6844666148178828,-0.2671260399211311,1.1183031322715302,-0.0458652912706231,3
380,0.5322621124732613,1.3618486393760931,0.7195280937130091,-0.3232622709488964,-0.481332594921102,0.611434649595941,-0.3973041655859913,0.0818613088895404,-0.6608819303717075,0.2021725363428235,-0.2252491994843733,-0.3628294320722356,0.1620583166373387,-1.214337775308089,0.154430401366097,-0.6289715607474826,4
384,3.0608658854084734,-0.8327535591202747,-2.732219320725453,0.3331392705594944,1.07818541891752,0.0748825568653534,0.0983890327154064,-0.3164225199534756,-0.1546541019831888,-0.262364038843561,-0.2272067825485045,0.0329775104708163,-0.217541959998036,0.795272276389706,-0.1123378387133289,0.031404044869068,5
392,-1.2453307027073002,1.3506624099929931,-0.1994116269509292,-0.1935537824980403,0.1903333358862422,-0.6096263731850227,-0.3748136114215087,0.0014976577441924,0.6552044432795697,0.196221937743575,-0.3784329857540172,0.0876352899298405,0.011931401249763,0.3236642981095006,-0.9884164123694296,-0.83151523620862,7
398,-1.072774383879937,-0.7626001441837867,0.4670145770405832,0.1577764217885848,-0.0200383826146911,0.5387624605212439,0.1907297153613791,0.5016562344587652,-1.1646733460506076,-0.6871257532080693,1.5515838706156369,0.6101547165416586,0.4038531712246882,0.9416117571552431,-0.6342727490190252,-0.3547267853734289,6
400,1.9032563955115485,-0.7650638578720104,-0.6367803761692807,0.0954478889419957,-0.3719965367989298,-0.9368274266769612,0.6873071939070603,-0.2240258910556251,1.0797098002846364,-0.2880763499112916,0.7648271242221849,0.490268148100807,0.5066434450792265,-0.4346697535600469,0.1521166785661879,0.554440850266549,2
